chapter_id,chapter_number,title,book_file,data_files,python_files,r_files,spss_amos_files,support_files,figure_files,software_coverage,status,missing_required
chapter11,11,Çoklu Regresyon ve Tanılamalar,chapters/chapter11.tex,data/chapter11_multiple_regression.csv,code/Python/chapter11_analysis.py,code/R/chapter11_analysis.R,code/SPSS/chapter11_analysis.sps,support/chapter11_coefficients.csv;support/chapter11_condition_indices.csv;support/chapter11_correlation_matrix.csv;support/chapter11_cross_validation.csv;support/chapter11_descriptive_summary.csv;support/chapter11_diagnostic_summary.csv;support/chapter11_hc3_coefficients.csv;support/chapter11_influence_diagnostics.csv;support/chapter11_influence_sensitivity.csv;support/chapter11_missing_summary.csv;support/chapter11_model_comparisons.csv;support/chapter11_model_fit.csv;support/chapter11_standardised_coefficients.csv;support/chapter11_vif_tolerance.csv;support/reproducibility_logs/chapter11_analysis.log,,Python;R;SPSS/AMOS,ready,
chapter12,12,Genelleştirilmiş Doğrusal Modeller,chapters/chapter12.tex,data/chapter12_binary_logistic.csv;data/chapter12_count_regression.csv;data/chapter12_gamma_regression.csv,code/Python/chapter12_analysis.py,code/R/chapter12_analysis.R,code/SPSS/chapter12_analysis.sps,support/chapter12_count_diagnostics.csv;support/chapter12_count_model_fit.csv;support/chapter12_count_profile_predictions.csv;support/chapter12_count_summary.csv;support/chapter12_gamma_coefficients.csv;support/chapter12_gamma_diagnostics.csv;support/chapter12_gamma_fit.csv;support/chapter12_gamma_hc3_coefficients.csv;support/chapter12_gamma_profile_predictions.csv;support/chapter12_logistic_calibration_groups.csv;support/chapter12_logistic_classification.csv;support/chapter12_logistic_coefficients.csv;support/chapter12_logistic_diagnostics.csv;support/chapter12_logistic_fit.csv;support/chapter12_logistic_marginal_effects.csv;support/chapter12_logistic_profile_predictions.csv;support/chapter12_modified_poisson_risk_ratios.csv;support/chapter12_negative_binomial_coefficients.csv;support/chapter12_poisson_coefficients.csv;support/chapter12_poisson_robust_coefficients.csv;support/reproducibility_logs/chapter12_analysis.log,,Python;R;SPSS/AMOS,ready,
chapter13,13,"Aracılık, Düzenleyicilik ve Koşullu Süreç Analizi",chapters/chapter13.tex,data/chapter13_conditional_process.csv;data/chapter13_mediation.csv;data/chapter13_moderation.csv,code/Python/chapter13_analysis.py,code/R/chapter13_analysis.R,code/SPSS/chapter13_analysis.sps,support/chapter13_conditional_indirect_effects.csv;support/chapter13_conditional_indirect_grid.csv;support/chapter13_conditional_process_coefficients.csv;support/chapter13_index_moderated_mediation.csv;support/chapter13_johnson_neyman_regions.csv;support/chapter13_johnson_neyman_roots.csv;support/chapter13_mediation_correlations.csv;support/chapter13_moderation_coefficients.csv;support/chapter13_moderation_prediction_grid.csv;support/chapter13_moderation_summary.csv;support/chapter13_moderation_vif.csv;support/chapter13_parallel_mediation_results.csv;support/chapter13_simple_mediation_bootstrap.csv;support/chapter13_simple_mediation_results.csv;support/chapter13_simple_slopes.csv;support/reproducibility_logs/chapter13_analysis.log,,Python;R;SPSS/AMOS,ready,
chapter14,14,"ANCOVA, Tekrarlı Ölçümler ve Karma Modeller",chapters/chapter14.tex,data/chapter14_ancova.csv;data/chapter14_longitudinal.csv,code/Python/chapter14_analysis.py,code/R/chapter14_analysis.R,code/SPSS/chapter14_analysis.sps,support/chapter14_ancova_adjusted_means.csv;support/chapter14_ancova_coefficients.csv;support/chapter14_longitudinal_missing_summary.csv;support/chapter14_longitudinal_summary.csv;support/chapter14_mixed_model_coefficients.csv;support/chapter14_mixed_model_estimated_means.csv;support/chapter14_repeated_measures_anova.csv;support/chapter14_variance_components.csv;support/reproducibility_logs/chapter14_analysis.log,,Python;R;SPSS/AMOS,ready,
chapter15,15,"Güvenirlik, Ölçüm Hatası ve Ölçek Geliştirme",chapters/chapter15.tex,data/chapter15_content_validity.csv;data/chapter15_interrater.csv;data/chapter15_scale_items_raw.csv;data/chapter15_scale_items_scored.csv;data/chapter15_test_retest.csv,code/Python/chapter15_analysis.py;code/Python/chapter15_figures.py,code/R/chapter15_analysis.R,code/SPSS/chapter15_analysis.sps,support/chapter15_alpha_bootstrap_distribution.csv;support/chapter15_content_validity_results.csv;support/chapter15_content_validity_summary.csv;support/chapter15_interitem_correlations.csv;support/chapter15_interrater_results.csv;support/chapter15_item_statistics.csv;support/chapter15_measurement_error_from_alpha.csv;support/chapter15_one_factor_parameters.csv;support/chapter15_reliability_summary.csv;support/chapter15_scale_development_decisions.csv;support/chapter15_scoring_key.csv;support/chapter15_test_retest_results.csv;support/reproducibility_logs/chapter15_analysis.log;support/reproducibility_logs/chapter15_figures.log,,Python;R;SPSS/AMOS,ready,
chapter16,16,Keşfedici Faktör Analizi,chapters/chapter16.tex,data/chapter16_efa_development.csv;data/chapter16_efa_items.csv;data/chapter16_validation_holdout.csv,code/Python/chapter16_analysis.py,code/R/chapter16_analysis.R,code/SPSS/chapter16_analysis.sps,support/chapter16_diagnostic_summary.csv;support/chapter16_draft_correlation_matrix.csv;support/chapter16_draft_factor_correlation.csv;support/chapter16_draft_map_results.csv;support/chapter16_draft_one_factor_residuals.csv;support/chapter16_draft_one_factor_solution.csv;support/chapter16_draft_parallel_analysis.csv;support/chapter16_draft_parallel_analysis.png;support/chapter16_draft_two_factor_pattern.csv;support/chapter16_draft_two_factor_residuals.csv;support/chapter16_draft_two_factor_structure.csv;support/chapter16_factor_scores_development.csv;support/chapter16_final9_correlation_matrix.csv;support/chapter16_final9_map_results.csv;support/chapter16_final9_one_factor_residuals.csv;support/chapter16_final9_one_factor_solution.csv;support/chapter16_final9_parallel_analysis.csv;support/chapter16_final9_parallel_analysis.png;support/chapter16_item_msa.csv;support/chapter16_missingness_summary.csv;support/chapter16_two_factor_pattern_plot.png;support/reproducibility_logs/chapter16_analysis.log,,Python;R;SPSS/AMOS,ready,
chapter17,17,Doğrulayıcı Faktör Analizi,chapters/chapter17.tex,data/chapter17_cfa_complete_cases.csv;data/chapter17_cfa_validation.csv,code/Python/chapter17_analysis.py,code/R/chapter17_analysis.R,code/SPSS/chapter17_AMOS_model_specification.txt;code/SPSS/chapter17_data_preparation.sps,support/chapter17_cfa_path_diagram.png;support/chapter17_composite_reliability_ave.csv;support/chapter17_item_distribution_missingness.csv;support/chapter17_largest_residual_pairs.csv;support/chapter17_model_fit_comparison.csv;support/chapter17_model_fit_comparison.png;support/chapter17_modification_indices_residual_covariances.csv;support/chapter17_multivariate_normality.csv;support/chapter17_nested_model_comparisons.csv;support/chapter17_standardised_loadings.csv;support/chapter17_standardised_loadings.png;support/chapter17_standardised_residual_matrix.csv;support/chapter17_two_factor_discriminant_validity.csv;support/reproducibility_logs/chapter17_analysis.log,,Python;R;SPSS/AMOS,ready,
chapter18,18,Yapısal Eşitlik Modellemesi,chapters/chapter18.tex,data/chapter18_sem_complete_cases.csv;data/chapter18_sem_data.csv,code/Python/chapter18_analysis.py,code/R/chapter18_analysis.R,code/SPSS/chapter18_AMOS_model_specification.txt,support/chapter18_descriptive_missingness.csv;support/chapter18_direct_indirect_total_effects.csv;support/chapter18_factor_reliability_ave.csv;support/chapter18_largest_residual_pairs.csv;support/chapter18_latent_correlation_matrix.csv;support/chapter18_latent_covariance_matrix.csv;support/chapter18_latent_r_squared.csv;support/chapter18_model_fit_comparison.csv;support/chapter18_model_fit_comparison.png;support/reproducibility_logs/chapter18_analysis.log,,Python;R;SPSS/AMOS,ready,
chapter19,19,Ölçüm Değişmezliği ve Model Karşılaştırması,chapters/chapter19.tex,data/chapter19_invariance_data.csv,code/Python/chapter19_analysis.py,code/R/chapter19_analysis.R,code/SPSS/chapter19_AMOS_invariance_guide.txt;code/SPSS/chapter19_data_preparation.sps,support/chapter19_invariance_fit.csv;support/chapter19_latent_mean.csv;support/chapter19_nested_comparisons.csv;support/chapter19_partial_intercepts.csv;support/reproducibility_logs/chapter19_analysis.log,,Python;R;SPSS/AMOS,ready,
chapter20,20,"SPSS, R ve Python ile Yeniden Üretilebilir Vaka Çalışmaları",chapters/chapter20.tex,data/chapter20_data_dictionary.csv;data/chapter20_longitudinal_long.csv;data/chapter20_master_wide.csv,code/Python/chapter20_case_studies.py,code/R/chapter20_case_studies.R,,support/chapter20_analysis_plan.yml;support/chapter20_checksums_sha256.csv;support/chapter20_session_info.txt;support/chapter20_software_alignment_guide.csv;support/reproducibility_logs/chapter20_case_studies.log,,Python;R,ready,
chapter21,21,"Akademik Raporlama, Açık Bilim ve Etik Yapay Zekâ",chapters/chapter21.tex,data/chapter21_ai_use_log.csv;data/chapter21_open_science_assets.csv;data/chapter21_reporting_audit.csv,code/Python/chapter21_audit_workflows.py,code/R/chapter21_audit_workflows.R,code/SPSS/chapter21_audit_workflows.sps,support/chapter21_ai_red_flags.csv;support/chapter21_ai_risk_summary.csv;support/chapter21_critical_omissions.csv;support/chapter21_open_science_access.csv;support/chapter21_reporting_summary.csv;support/reproducibility_logs/chapter21_audit_workflows.log,,Python;R;SPSS/AMOS,ready,
